Bridge Shelter,Catholic Community Services,Bridge Shelter,Seattle,Seattle Council Dst 7,Emergency Shelter,Yes,,Yes,3675,6/3/2024,97,Single Adults (All Genders),General - No additional specificity,Yes,Yes - Housing Navigator/Specialist,Yes,Yes - Behavioral Health Specialist,Yes - Other Health Care,Congregate - Cubicles,Yes - Two Meals A Day,Yes - Shared,Yes,Yes,Yes - General,Up to 12 Months,"Coordinated Entry, HOPE team",6/3/2024 1:37 PM
Bunny Wilburn Shelter and Referral Center,Catholic Community Services,Bunny Wilburn Shelter and Referral Center,Seattle,Seattle Council Dst 3,Emergency Shelter,Yes,,Yes,4571,6/4/2024,40,Single Adult Women,General - No additional specificity,Yes,Yes - Housing Navigator/Specialist,Yes,Yes - Behavioral Health Specialist,Yes - Other Health Care,Congregate - Cubicles,Yes - Two Meals A Day,Yes - Shared,No,Yes,Yes - General,Up to 12 Months,"Coordinated Entry, HOPE team, Local Service Providers (GENERAL)",6/4/2024 11:45 AM
CCS Shelter RRH Pilot,Catholic Community Services,CCS Shelter RRH Pilot,Countywide,N/A,Rapid Rehousing,Yes,,Yes,4613,6/7/2024,32,Unclear,General - No additional specificity,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,N/A,Unclear,Coordinated Entry,6/7/2024 10:13 AM
Cedar Park Apartments,Catholic Community Services,Cedar Park Apartments,South King County,Renton,Permanent Housing,,,N/A,1214,,10,Single Adults (All Genders),Veterans,,,,,,,,,,,,,,1/31/2025 3:43 PM
Dorothy Day - HUD,Catholic Community Services,Dorothy Day - HUD,Seattle,Seattle,Permanent Supportive Housing,No,,Yes,1209,5/31/2024,17,Single Adult Women,General - No additional specificity,Yes,No,No,No,No,Single Room Occupancy - General,Kitchen Access,Yes - Shared,No,Yes,N/A,N/A,Coordinated Entry,5/31/2024 10:18 AM
Dorothy Day - SHA,Catholic Community Services,Dorothy Day - SHA,Seattle,Seattle,Permanent Supportive Housing,No,,Yes,3031,6/3/2024,24,Single Adult Women,General - No additional specificity,Yes,No,No,No,No,Single Room Occupancy - General,Kitchen Access,Yes - Shared,No,Yes,N/A,N/A,Coordinated Entry,6/3/2024 1:20 PM
Federal Way Day Center,Catholic Community Services,Federal Way Day Center,South King County,Federal Way,Day Center,No,Federal Way,Yes,3677,4/14/23,,"Families with Children at least one under 18, Single Adult Men, Single Adult Women, Single Adults and Couples",General - No additional specificity,Yes,Unclear,Partnering Agency,Partnering Agency,"Yes - Pop-up Clinic, Yes - Visiting Nurse",N/A,Kitchen Access,Yes- Unclear,Unclear,Yes,No,N/A,Drop-in,4/17/2023 2:37 PM
GPD Michael's Place,Catholic Community Services,GPD Michael's Place,Seattle,Seattle,Transitional Housing,No,,Yes,1211,5/31/2024,18,Single Adult Men,"In pro-active recovery drugs, alcohol, or behavioral health challenges, Veterans",Yes,Yes - Undefined,Yes,Yes - Behavioral Health Specialist,Yes - Other Health Care,Single Room Occupancy - General,Kitchen Access,Yes- Unclear,No,Yes,N/A,Unclear,Veterans Administration,5/31/2024 10:19 AM
Junction Point,Catholic Community Services,Junction Point,Seattle,Seattle Council Dst 7,Emergency Shelter,Yes,,Yes,4515,6/3/2024,49,Single Adults (All Genders),Older adults (50+),Yes,Yes - Housing Navigator/Specialist,Yes,Yes - Behavioral Health Specialist,Yes - Other Health Care,Tiny House,Yes - One Meal A Day,Yes - Shared,Yes,Yes,Yes - General,Unclear,"Coordinated Entry, HOPE team, Local Service Providers (GENERAL)",6/3/2024 1:59 PM
Katharine's Place Apartments,Catholic Community Services,Katharine's Place Apartments,Seattle,Seattle,Permanent Housing,No,,Yes,1971,,15,Families with Children at least one under 18,General - No additional specificity,No,No,No,No,Unclear,Single Room Occupancy - General,No,Yes- Unclear,No,Yes,N/A,N/A,Internal Agency Program Referral,1/31/2025 12:53 PM
Katherine's House,Catholic Community Services,Katherine's House,South King County,Kent,Transitional Housing,Yes,"Auburn, Kent",No,1217,6/10/2024,6,Single Adult Women,General - No additional specificity,Unclear,Yes - Undefined,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,N/A,Unclear,King County Specialty Courts,6/10/2024 11:00 AM
Keeping Families Together Program,Catholic Community Services,Keeping Families Together Program,Countywide,N/A,Rapid Rehousing,No,,Yes,3932,6/3/2024,17,Families with Children at least one under 18,Families Involved with DCYF,Yes,Yes - Part of case management,Unclear,Unclear,Unclear,Scattered Site,No,No,Yes,Yes,N/A,Unclear,"Department of Children, Youth, and Family",6/3/2024 1:44 PM
Kent Community Engagement Center,Catholic Community Services,Kent Community Engagement Center,South King County,Kent,Day Center,No,Kent,Yes,3548,4/14/23,,"Families with Children at least one under 18, Single Adult Men, Single Adult Women, Single Adults and Couples",General - No additional specificity,Yes,Unclear,Partnering Agency,Partnering Agency,"Yes - Pop-up Clinic, Yes - Visiting Nurse",N/A,Kitchen Access,Yes- Unclear,Unclear,Yes,No,N/A,Drop-in,4/17/2023 2:38 PM
New Bethlehem Day Center,Catholic Community Services,New Bethlehem Day Center,East King County,Kirkland,Day Center,No,Bellevue,Yes,3223,4/14/23,,Families with Children at least one under 18,General - No additional specificity,N/A,Unclear,Unclear,Unclear,Unclear,N/A,Unclear,Unclear,Unclear,Unclear,Unclear,N/A,Drop-in,4/17/2023 2:37 PM
New Bethlehem Hotel,Catholic Community Services,New Bethlehem Hotel,East King County,Kirkland,Emergency Shelter,Yes,Bellevue,Yes,4545,6/4/2024,34,Families with Children under 18,General - No additional specificity,Yes,Yes - Part of case management,Yes,Yes - Behavioral Health Specialist,Yes - Visiting Nurse,Single Room Occupancy - Hotel Room,"Units have Kitchens, Yes - One Meal A Day",Yes - In-Unit,Yes,Service Animal,Yes - General,Up to 90 Days,"Coordinated Entry, Family Shelter Intake Line, Local Service Providers (GENERAL)",6/4/2024 11:43 AM
New Bethlehem Place,Catholic Community Services,New Bethlehem Place,East King County,Kirkland,Emergency Shelter,Yes,Bellevue,Yes,4546,6/4/2024,52,Families with Children under 18,General - No additional specificity,Yes,Yes - Part of case management,Yes,Yes - Behavioral Health Specialist,Yes - Visiting Nurse,Single Room Occupancy - General,Yes - Three Meals A Day,Yes - Shared,Yes,Yes,Yes - General,Up to 90 Days,"Coordinated Entry, Family Shelter Intake Line, Local Service Providers (GENERAL)",6/4/2024 11:43 AM
Noel at Bahkita - CoC,Catholic Community Services,Noel at Bahkita - CoC,Seattle,Seattle,Permanent Supportive Housing,,,N/A,1222,,20,Single Adults (All Genders),General - No additional specificity,,,,,,,,,,,,,,1/31/2025 4:31 PM
Noel House Enhanced Shelter,Catholic Community Services,Noel House Enhanced Shelter,Seattle,Seattle Council Dst 7,Emergency Shelter,Yes,,Yes,4725/3032,6/7/2024,20,Single Adult Women,General - No additional specificity,Yes,Yes - Housing Navigator/Specialist,Yes,Yes - Behavioral Health Specialist,Yes - Other Health Care,Congregate - Cubicles,Yes - Three Meals A Day,Yes - Shared,No,Yes,Yes - General,Up to 12 Months,"Coordinated Entry, HOPE team, Local Service Providers (GENERAL)",6/7/2024 10:16 AM
Ozanam - HUD,Catholic Community Services,Ozanam - HUD,Seattle,Seattle,Permanent Supportive Housing,No,,Yes,1224,5/31/2024,41,Single Adult Men,"Individual Living with a Disability, Older adults (50+)",Yes,Yes - Undefined,Referral,Yes - Behavioral Health Specialist,Yes - Other Health Care,Single Room Occupancy - General,Yes - Three Meals A Day,Yes- Unclear,Yes,No,N/A,N/A,Coordinated Entry,5/31/2024 10:21 AM
Ozanam-SHA,Catholic Community Services,Ozanam-SHA,Seattle,,Permanent Supportive Housing,,,,,,15,Single Adults (All Genders),Veterans,,,,,,,,,,,,,,1/31/2025 4:30 PM
Palo Studios,Catholic Community Services,Palo Studios,Seattle,,Permanent Housing,,,N/A,1225,,15,Single Adults (All Genders),General - No additional specificity,,,,,,,,,,,,,,1/31/2025 4:31 PM
Parke Studios,Catholic Community Services,Parke Studios,Seattle,,Permanent Supportive Housing,,,N/A,1226,,20,Single Adults (All Genders),General - No additional specificity,,,,,,,,,,,,,,1/31/2025 4:31 PM
Patrick Place - HUD,Catholic Community Services,Patrick Place - HUD,Seattle,Seattle,Permanent Supportive Housing,No,,Yes,1997,6/3/2024,30,Single Adults and Couples,General - No additional specificity,Yes,Yes - Undefined,Covered by Behavioral Health Specialist,Yes - Behavioral Health Specialist,No,"Single Room Occupancy - Apartments, Single Room Occupancy - Studio Apartments",No,Yes- Unclear,Yes,No,N/A,N/A,Coordinated Entry,6/3/2024 11:32 AM
Patrick Place SHA,Catholic Community Services,Patrick Place SHA,Seattle,Seattle,Permanent Supportive Housing,No,,Yes,1996,6/3/2024,41,Single Adults and Couples,General - No additional specificity,Yes,Yes - Undefined,Covered by Behavioral Health Specialist,Yes - Behavioral Health Specialist,No,"Single Room Occupancy - Apartments, Single Room Occupancy - Studio Apartments",No,Yes- Unclear,Yes,No,N/A,N/A,Coordinated Entry,6/3/2024 11:32 AM
Renton Extended Stay / Sidney Wilson House,Catholic Community Services,Renton Extended Stay / Sidney Wilson House,South King County,Renton,Permanent Supportive Housing,No,King County (DCHS),Yes,4869,6/7/2024,107,"Single Adult Women, Single Adult Men","Coming from Chronic Homelessness, Low Acuity",Yes,Yes - Part of case management,"Covered by Behavioral Health Specialist, Referral","Referral, Yes - Behavioral Health Specialist",Yes - Visiting Nurse,Single Room Occupancy - Hotel Room,"Community Partners - Food Pantries, Occasional Hot Meals, Units have Kitchens",Yes - In-Unit,No,Yes,N/A,N/A,"Coordinated Entry, Local Service Providers (GENERAL)",6/7/2024 10:17 AM
Rita's House,Catholic Community Services,Rita's House,South King County,TBD,Transitional Housing,Yes,Auburn,Yes,1218,5/31/2024,6,Single Adult Women,General - No additional specificity,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,N/A,Unclear,Unclear,5/31/2024 10:19 AM
Rose of Lima - HUD,Catholic Community Services,Rose of Lima - HUD,Seattle,,Permanent Supportive Housing,,,N/A,1221,,13,Single Adults (All Genders),General - No additional specificity,,,,,,,,,,,,,,1/31/2025 4:31 PM
Rose of Lima at Bakhita Gardens,Catholic Community Services,Rose of Lima at Bakhita Gardens,Seattle,Seattle,Permanent Supportive Housing,No,,Yes,1220,5/31/2024,37,Single Adult Women,General - No additional specificity,Yes,Yes - Undefined,Covered by Behavioral Health Specialist,Yes - Behavioral Health Specialist,No,Single Room Occupancy - General,Yes - Undefined,Yes- Unclear,No,Yes,N/A,N/A,Coordinated Entry,5/31/2024 10:21 AM
RRH Family CCS,Catholic Community Services,RRH Family CCS,Countywide,N/A,Rapid Rehousing,Yes,,Yes,1566,5/31/2024,10,Families with Children at least one under 18,General - No additional specificity,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,N/A,Unclear,Coordinated Entry,5/31/2024 10:30 AM
RRH for Single Adults - King County,Catholic Community Services,RRH for Single Adults - King County,Countywide,N/A,Rapid Rehousing,Yes,,Yes,3200,6/3/2024,15,"Single Adult Women, Single Adult Men, Single Adults (All Genders)",General - No additional specificity,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,N/A,Unclear,Coordinated Entry,6/3/2024 1:22 PM
RRH Supportive Services for Veteran Families CCS,Catholic Community Services,RRH Supportive Services for Veteran Families CCS-EHA,Seattle,Seattle,Rapid Rehousing,No,,Yes,1686,6/3/2024,144,Families with Children under 18,Veterans,Yes,Yes - Undefined,No,No,No,Single Room Occupancy - General,No,No,Yes,Yes,No,N/A,Coordinated Entry,6/3/2024 11:07 AM
Sacred Heart Shelter,Catholic Community Services,Sacred Heart Shelter,South King County,Kent,Emergency Shelter,Yes,Kent,Yes,1265,5/31/2024,38,Families with Children under 18,General - No additional specificity,Yes,Yes - Housing Navigator/Specialist,Yes,Yes - Behavioral Health Specialist,Yes - Other Health Care,Single Room Occupancy - General,Unclear,Yes - Shared,No,Yes,Yes - General,Non-Time Limited,Coordinated Entry,5/31/2024 10:23 AM
Santa Teresita del Nino Jesus,Catholic Community Services,Santa Teresita del Nino Jesus,Seattle,Seattle,Permanent Housing,No,,Yes,1238,5/31/2024,90,Families with Children under 18,General - No additional specificity,No,No,No,No,No,Single Room Occupancy - Studio Apartments,No,Yes- Unclear,No,Yes,N/A,N/A,Unclear,5/31/2024 10:22 AM
Single Adults RRH CCS,Catholic Community Services,Single Adults RRH CCS,Countywide,N/A,Rapid Rehousing,Yes,,Yes,1883,6/3/2024,14,"Single Adult Women, Single Adult Men, Single Adults (All Genders)",General - No additional specificity,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,N/A,Unclear,Coordinated Entry,6/3/2024 11:24 AM
Spruce Park Apartments,Catholic Community Services,Spruce Park Apartments,Seattle,Seattle,Transitional Housing,No,,No,1239,,9,Families with Children at least one under 18,General - No additional specificity,Yes,Yes - Undefined,No,No,No,Single Room Occupancy - General,Units have Kitchens,Yes - In-Unit,Unclear,Unclear,N/A,Unclear,Unclear,1/31/2025 3:37 PM
St. John's Safe Parking,Catholic Community Services,St. John's Safe Parking,South East King County,Covington,Safe Parking,No,Covington,No,,4/14/23,,,Vehicle Residents in Passenger Vehicles,Yes,Partnering Agency,Partnering Agency,Partnering Agency,Formalized Partnerships,Parking Space,Community Partners - Food Pantries,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,9/11/2023 4:17 PM
St. Margaret's Place,Catholic Community Services,St. Margaret's Place,Seattle,,Permanent Supportive Housing,,,Yes,5382,6/10/2024,100,,,,,,,,,,,,,,,,6/10/2024 11:02 AM
St. Martin de Porres Shelter,Catholic Community Services,St. Martin de Porres Shelter,Seattle,Seattle Council Dst 2,Emergency Shelter,Yes,,Yes,4606/1254,6/7/2024,54,Single Adult Men,Older adults (50+),Yes,Yes - Housing Navigator/Specialist,Yes,Yes - Behavioral Health Specialist,Yes - Other Health Care,Congregate - Cubicles,Yes - Two Meals A Day,Yes - Shared,No,Service Animal,Yes - General,Non-Time Limited,HOPE team,6/7/2024 10:12 AM
St. Martin's on Westlake,Catholic Community Services,St. Martin's on Westlake,Seattle,Seattle,Permanent Supportive Housing,No,,Yes,1267,5/31/2024,53,Single Adult Men,Older adults (55+),Yes,Yes - Undefined,Covered by Behavioral Health Specialist,Yes - Behavioral Health Specialist,Yes - Other Health Care,Congregate - Cubicles,Yes - Undefined,Yes- Unclear,No,No,N/A,N/A,Coordinated Entry,5/31/2024 10:24 AM
Sunset Court,Catholic Community Services,Sunset Court,Seattle,,Permanent Supportive Housing,,,N/A,3859,6/7/2024,37,Single Adults (All Genders),Veterans,,,,,,,,,,,,,,1/31/2025 4:32 PM
The Inn,Catholic Community Services,The Inn,Seattle,Seattle Council Dst 7,Emergency Shelter,Yes,,Yes,4326,6/3/2024,30,Single Adults (All Genders),Individuals living with Serious Mental Illness,Yes,Yes - Housing Navigator/Specialist,Yes,Yes - Behavioral Health Specialist,Yes - Other Health Care,Single Room Occupancy - General,Yes - Two Meals A Day,Yes - Shared,Yes,Yes,Yes - General,Non-Time Limited,Coordinated Entry,6/3/2024 1:58 PM
The Inn Safe Haven,Catholic Community Services,The Inn Safe Haven,Seattle,Seattle,Safe Haven,No,,Yes,4327,6/3/2024,20,"Single Adult Women, Single Adult Men",General - No additional specificity,Yes,Yes - Undefined,"Covered by Behavioral Health Specialist, Yes",Yes - Behavioral Health Specialist,Yes - Health Services Team,Single Room Occupancy - Apartments,Yes - Three Meals A Day,Yes - In-Unit,Yes,Yes,No,Non-Time Limited,Unclear,6/3/2024 1:58 PM
Thea Bowman Apartments - CoC,Catholic Community Services,Thea Bowman Apartments - CoC,South King County,Kent,Permanent Supportive Housing,No,,Yes,4364,6/3/2024,44,Unclear,General - No additional specificity,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,N/A,N/A,Unclear,6/3/2024 1:59 PM
VASH - Kent A,Catholic Community Services,VASH - Kent A,South King County,Kent,Permanent Supportive Housing,No,,Yes,4363,6/3/2024,36,Unclear,General - No additional specificity,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,N/A,N/A,Unclear,6/3/2024 1:59 PM
Wintonia,Catholic Community Services,Wintonia,Seattle,Seattle,Permanent Supportive Housing,No,,Yes,1302,5/31/2024,92,Single Adults (All Genders),Individuals living with Substance Use Disorder,Yes,Yes - Undefined,Yes,Yes - Behavioral Health Specialist,Yes - Visiting Nurse,Single Room Occupancy - General,Yes - Undefined,Yes- Unclear,No,Yes,N/A,N/A,Unclear,5/31/2024 10:25 AM
Womens Wellness Center,Catholic Community Services,Womens Wellness Center,Seattle,Seattle Council Dst 7,Day Center,No,,Yes,2230,4/14/23,,Single Adult Women,General - No additional specificity,Yes,Unclear,Referral,Referral,Unclear,N/A,Unclear,Unclear,Unclear,Unclear,Unclear,N/A,Drop-in,4/17/2023 2:38 PM
"?al?al ""Home""",Chief Seattle Club,"?al?al ""Home""",Seattle,Seattle Council Dst 7,Permanent Housing,No,King County (DCHS),Yes,4617,6/7/2024,57,Single Adults (All Genders),Native American Serving,Yes,Yes - Part of case management,Referral,Yes - Behavioral Health Specialist,Referral,Single Room Occupancy - Studio Apartments,Community Partners - Food Pantries,Yes - In-Unit,Yes,Yes,N/A,Non-Time Limited,"AI/AN Case Conferencing, Coordinated Entry",6/7/2024 10:13 AM
Chief Seattle Club - Day Center,Chief Seattle Club,Chief Seattle Club - Day Center,Seattle,Seattle Council Dst 7,Day Center,Yes,,Yes,3375,11/18/22,,"Single Adult Women, Single Adult Men, Single Adults (All Genders)",Native American Serving,Yes,Referral,No,Referral,Unclear,N/A,No,Unclear,Unclear,Unclear,Unclear,N/A,Drop-in,4/14/2023 10:13 AM
Chief Seattle Club - Rapid Rehousing Single Adults,Chief Seattle Club,Chief Seattle Club - Rapid Rehousing Single Adults,Countywide,N/A,Rapid Rehousing,Yes,,Yes,3446,6/3/2024,5,"Single Adult Women, Single Adult Men, Single Adults (All Genders)",Native American Serving,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,N/A,Unclear,Unclear,6/3/2024 1:32 PM
Chief Seattle Club - Shelter/Rapid Rehousing,Chief Seattle Club,Chief Seattle Club - Shelter/Rapid Rehousing,Countywide,N/A,Rapid Rehousing,Yes,,Yes,4536,11/18/22,2,Unclear,Native American Serving,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,N/A,Unclear,Unclear,6/14/2023 1:10 PM
Eagle Village Interim Shelter,Chief Seattle Club,Eagle Village Interim Shelter,Seattle,Seattle Council Dst 2,Emergency Shelter,Yes,King County (DCHS),Yes,4072,6/3/2024,28,"Single Adult Women, Single Adult Men",Native American Serving,Yes,Yes - Part of case management,Referral,Referral,Referral,"Single Room Occupancy - General, Tiny House",Yes - Undefined,Yes - Shared,Yes,No,No,Non-Time Limited,"HOPE team, Internal Outreach Team",6/3/2024 1:54 PM
Salmonberry HtH,Chief Seattle Club,Salmonberry HtH,Seattle,,Permanent Supportive Housing,,,N/A,5008,6/7/2024,76,Single Adults (All Genders),"Veterans, Native American Serving",,,,,,,,,,,,,,1/31/2025 4:33 PM
Patricia K,Community House Mental Health,Patricia K,Seattle,Seattle,Permanent Supportive Housing,No,,Yes,4209,6/3/2024,52,"Single Adult Women, Single Adult Men",Individuals living with Serious Mental Illness,Yes,No,Referral,Yes - Behavioral Health Specialist,Referral,Single Room Occupancy - Studio Apartments,Yes - One Meal A Day,Yes- Unclear,No,Service Animal,N/A,N/A,"Coordinated Entry, Drop-in, Hospitals, Jail",6/3/2024 1:56 PM
Cascade Women's Supportive Housing,Compass Housing Alliance,Cascade Women's Supportive Housing,Seattle,Seattle,Permanent Supportive Housing,Yes,,Yes,3254,6/3/2024,32,Single Adult Women,Coming from Chronic Homelessness,Yes,Yes - Undefined,Yes,Yes - Behavioral Health Specialist,Yes - Other Health Care,Single Room Occupancy - General,"Community Partners - Food Pantries, Occasional Hot Meals",Yes - Shared,No,No,Yes - General,Non-Time Limited,Coordinated Entry,6/3/2024 1:24 PM
Compass Center Day Program,Compass Housing Alliance,Compass Center Day Program,Seattle,Seattle Council Dst 7,Day Center,Yes,,Yes,3938,4/14/23,,"Single Adults (All Genders), Single Adults and Couples",General - No additional specificity,Yes,Yes - Part of case management,Referral,Referral,Referral,N/A,Yes - One Meal A Day,Yes - Shared,Yes,Yes,No,N/A,Drop-in,4/17/2023 3:08 PM
Compass Hygiene Center,Compass Housing Alliance,Compass Hygiene Center,Seattle,Seattle Council Dst 7,Day Center,Yes,,Yes,1602,4/14/23,,"Single Adult Women, Single Adult Men, Single Adults and Couples",General - No additional specificity,Yes,Yes - Part of case management,Referral,Referral,Referral,N/A,Yes - One Meal A Day,Yes - Shared,Yes,Yes,No,N/A,Drop-in,4/17/2023 3:08 PM
Don's Place,Compass Housing Alliance,Don's Place,South King County,Auburn,Emergency Shelter,No,King County (DCHS),N/A,2821,6/7/2024,31,Single Adults (All Genders),"Older adults (50+), Veterans",,,,,,,,,,,,,,1/31/2025 4:33 PM
Jan and Peter's Place Shelter,Compass Housing Alliance,Jan and Peter's Place Shelter,Seattle,Seattle Council Dst 7,Emergency Shelter,Yes,,Yes,1283,5/31/24,31,Single Adult Women,General - No additional specificity,Yes,Yes - Part of case management,Referral,Referral,Formalized Partnerships,Congregate - Cubicles,Yes - Three Meals A Day,Yes - Shared,No,Service Animal,Yes - General,Non-Time Limited,Designated Referral Organizations,5/31/2024 10:25 AM
Nyer Urness,Compass Housing Alliance,Nyer Urness - CoC,Seattle,Seattle,Permanent Supportive Housing,No,,Yes,1482,5/31/2024,55,"Single Adult Women, Single Adult Men","General - No additional specificity, Veterans",Yes,Yes - Part of case management,Partnering Agency,Partnering Agency,Formalized Partnerships,Single Room Occupancy - Studio Apartments,"Units have Kitchens, Yes - One Meal A Day",Yes - In-Unit,Unclear,Service Animal,N/A,N/A,Coordinated Entry,5/31/2024 10:28 AM
